Optimizing /h/ywang30/nofib/spectral/boyer2
0111011000001001000100000010111101000100100010011000000101,0111011000001001000100000010111101000100100010011000000101110110000111000101111010001011100100000111101000100000000101,0111011000001001000100000010111101,01110110000010010001000000101111010001001000100110000001011101100001110001011110100010,0 3499752.0
1101111000001000100100001010010100010100100010001000000101,1101111000001000100100001010010100010100100010001000000101000110000111000101111110001011000100000101100100100000010101,1101111000001000100100001010010100,11011110000010001001000010100101000101001000100010000001010001100001110001011111100010,1 3539104.0
1101001000001001100000100010010101000010000010010101100100,1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111,1101001000001001100000100010010101,11010010000010011000001000100101010000100000100101011001001101100001110001010010100010,1 3562272.0
best: 0.8577943588310357
1110010000001110110101111110011001111010100010001000101111,1110010000001110110101111110011001111010100010001000101111110111000110111000111101100010000010010011100001011011000111,1110010000001110110101111110011001,11100100000011101101011111100110011110101000100010001011111101110001101110001111011000,1 3301344.0
1010110000001110010101110000111101011010100010001000101111,1010110000001110010101110000111101011010100010001000101111110010000110110000111001000110100000010011100000010011000001,1010110000001110010101110000111101,10101100000011100101011100001111010110101000100010001011111100100001101100001110010001,1 3492488.0
1101111000001000100100001010010100010100100010001000000101,1101111000001000100100001010010100010100100010001000000101000110000111000101111110001011000100000101100100100000010101,1101111000001000100100001010010100,11011110000010001001000010100101000101001000100010000001010001100001110001011111100010,1 3539104.0
0111011000001111110111011110100101101000100010011000000011,0111011000001111110111011110100101101000100010011000000011110111000110001101111111101010100100010111100101001001000100,0111011000001111110111011110100101,01110110000011111101110111101001011010001000100110000000111101110001100011011111111010,0 3680432.0
0110011000001011110100101110111101000010100010001000101101,0110011000001011110100101110111101000010100010001000101101111110000111010101110010010010100100010101101000110001000111,0110011000001011110100101110111101,01100110000010111101001011101111010000101000100010001011011111100001110101011100100100,0 3943840.0
1111000000001001010101000010111101000000001010111000101111,1111000000001001010101000010111101000000001010111000101111111110000111110100100010011011101110000001001010100010000101,1111000000001001010101000010111101,11110000000010010101010000101111010000000010101110001011111111100001111101001000100110,1 3942024.0
1101001000001111101110000001110000110011000010001001101110,1101001000001111101110000001110000110011000010001001101110010111001010000000101010100110000001111000000001000011010010,1101001000001111101110000001110000,11010010000011111011100000011100001100110000100010011011100101110010100000001010101001,1 3013000.0
1101000000011011110100100001110100100011001010010101100110,1101000000011011110100100001110100100011001010010101100110110110001010010101001010100010101100111100000000110000101111,1101000000011011110100100001110100,11010000000110111101001000011101001000110010100101011001101101100010100101010010101000,1 3426768.0
1111110000011111010101010000111100110011100010001000101110,1111110000011111010101010000111100110011100010001000101110110111000010110010111001000110100000110000000000110011001001,1111110000011111010101010000111100,11111100000111110101010100001111001100111000100010001011101101110000101100101110010001,1 3151040.0
1111100100111111000101000001010100110011001011000000101110,1111100100111111000101000001010100110011001011000000101110111111111010000001001011010111010001011100001110110101001101,1111100100111111000101000001010100,11111001001111110001010000010101001100110010110000001011101111111110100000010010110101,1 3854832.0
0110100101011111010111011101010111110010000110000001101110,0110100101011111010111011101010111110010000110000001101110011111111100001001101101010110001011111100111111000010111110,0110100101011111010111011101010111,01101001010111110101110111010101111100100001100000011011100111111111000010011011010101,0 4063968.0
1110010000101010111110101001000001110000000001100010001011,1110010000101010111110101001000001110000000001100010001011110001000110111011101011010110011110111111100001001011100110,1110010000101010111110101001000001,11100100001010101111101010010000011100000000011000100010111100010001101110111010110101,1 3611392.0
0010010000100001101101001000101010010010100001111000000110,0010010000100001101101001000101010010010100001111000000110111011000111111011001011100101101100010001100100110011000011,0010010000100001101101001000101010,00100100001000011011010010001010100100101000011110000001101110110001111110110010111001,0 3648088.0
1111111110111011110011011101110000111111001000000101101100,1111111110111011110011011101110000111111001000000101101100100101001000110010110010110100101001011000011101110111111111,1111111110111011110011011101110000,11111111101110111100110111011100001111110010000001011011001001010010001100101100101101,1 4065968.0
1010000000110100100101100010011001010011110111011100100100,1010000000110100100101100010011001010011110111011100100100101010101101000001001111010011100001011111100000100001101110,1010000000110100100101100010011001,10100000001101001001011000100110010100111101110111001001001010101011010000010011110100,1 4312416.0
1110000100111111010101010001110100110010001000001001111110,1110000100111111010101010001110100110010001000001001111110101111101010110001001000010111100001111100000011110101101010,1110000100111111010101010001110100,11100001001111110101010100011101001100100010000010011111101011111010101100010010000101,1 3167464.0
1111000100111111010101010001110100110011101000001001101110,1111000100111111010101010001110100110011101000001001101110101111001010110011111000100110101001111000000001110111101010,1111000100111111010101010001110100,11110001001111110101010100011101001100111010000010011011101011110010101100111110001001,1 3168096.0
1110010000001110111111111110000001101000100011000000101011,1110010000001110111111111110000001101000100011000000101011110111000110111000111111100010001010010111100101011001000110,1110010000001110111111111110000001,11100100000011101111111111100000011010001000110000001010111101110001101110001111111000,1 3324848.0
0010110000000111010101001000101110010010100001101000101110,0010110000000111010101001000101110010010100001101000101110010001000110110010101011010001101100010001100010101011000001,0010110000000111010101001000101110,00101100000001110101010010001011100100101000011010001011100100010001101100101010110100,0 3458336.0
1010110000001110010101110000111101011010100010001000101111,1010110000001110010101110000111101011010100010001000101111110010000110110000111001000110100000010011100000010011000001,1010110000001110010101110000111101,10101100000011100101011100001111010110101000100010001011111100100001101100001110010001,1 3492488.0
0111011000001001000100000010111101000100100010011000000101,0111011000001001000100000010111101000100100010011000000101110110000111000101111010001011100100000111101000100000000101,0111011000001001000100000010111101,01110110000010010001000000101111010001001000100110000001011101100001110001011110100010,0 3499752.0
1101111000001000100100001010010100010100100010001000000101,1101111000001000100100001010010100010100100010001000000101000110000111000101111110001011000100000101100100100000010101,1101111000001000100100001010010100,11011110000010001001000010100101000101001000100010000001010001100001110001011111100010,1 3539104.0
best: 0.815963307920125
0010110000011111010101000000101110010010100001001000101110,0010110000011111010101000000101110010010100001001000101110110001000010110010101001010111101100110001100010101011001001,0010110000011111010101000000101110,00101100000111110101010000001011100100101000010010001011101100010000101100101010010101,0 3460112.0
1101000000011011110110100001110100100011001010001101101110,1101000000011011110110100001110100100011001010001101101110110111001010010000101010100110001000111000000001010000010111,1101000000011011110110100001110100,11010000000110111101101000011101001000110010100011011011101101110010100100001010101001,1 3594288.0
0001110000001011010100001010101110010010100010101000100100,0001110000001011010100001010101110010010100010101000100100000011000110100000111010001011000100010001100010100010000101,0001110000001011010100001010101110,00011100000010110101000010101011100100101000101010001001000000110001101000001110100010,0 3965576.0
1110000000100111010101010000101100110010000000101000101110,1110000000100111010101010000101100110010000000101000101110010011001110110000001000010011100000111101100011110001101011,1110000000100111010101010000101100,11100000001001110101010100001011001100100000001010001011100100110011101100000010000100,1 3270888.0
1111010000001111110101111110011000110011100010001000101111,1111010000001111110101111110011000110011100010001000101111110111000010110010111001000110100010010010000000110011000101,1111010000001111110101111110011000,11110100000011111101011111100110001100111000100010001011111101110000101100101110010001,1 3146688.0
1101000000011011110101100000110100100011100010001100100110,1101000000011011110101100000110100100011100010001100100110110111000010010011101000100010101000110000000000110001101001,1101000000011011110101100000110100,11010000000110111101011000001101001000111000100011001001101101110000100100111010001000,1 3426768.0
1111000100111111110101110001110100100011101010001101100110,1111000100111111110101110001110100100011101010001101100110101111001010010101011000100110101100111000000001110101101010,1111000100111111110101110001110100,11110001001111111101011100011101001000111010100011011001101011110010100101010110001001,1 4102928.0
0110100100000111010101000001110100010011100000001000101110,0110100100000111010101000001110100010011100000001000101110101111000110110010111010000111101101111001100000100011000010,0110100100000111010101000001110100,01101001000001110101010000011101000100111000000010001011101011110001101100101110100001,0 3354912.0
1100001000111111100110000001110100110010001000001001111110,1100001000111111100110000001110100110010001000001001111110101111101010000000001000010111100001111000000011110111011010,1100001000111111100110000001110100,11000010001111111001100000011101001100100010000010011111101011111010100000000010000101,1 2980104.0
1000000110100001101101001011101011000111011010110110010000,1000000110100001101101001011101011000111011010110110010000101011000110111110011111100000101010010001000110111001000001,1000000110100001101101001011101011,10000001101000011011010010111010110001110110101101100100001010110001101111100111111000,1 6877976.0
1000111100001010011101010011011101011110100001101001111100,1000111100001010011101010011011101011110100001101001111100010011000100110001111000001101100010010010000000010010100001,1000111100001010011101010011011101,10001111000010100111010100110111010111101000011010011111000100110001001100011110000011,1 3956240.0
1111011001001000100100000000100101000100110011111000100111,1111011001001000100100000000100101000100110011111000100111110010000101010111111100001011111100010111100000000100000111,1111011001001000100100000000100101,11110110010010001001000000001001010001001100111110001001111100100001010101111111000010,1 3828760.0
0111011000111111011111010110110001101100100110111000001110,0111011000111111011111010110110001101100100110111000001110010011010100100001111110101010100000110001001100001101101100,0111011000111111011111010110110001,01110110001111110111110101101100011011001001101110000011100100110101001000011111101010,0 4206896.0
1001111000011110000110001011010101111101101110001000000000,1001111000011110000110001011010101111101101110001000000000000111000110011100010110101001000111000101100100100100000101,1001111000011110000110001011010101,10011110000111100001100010110101011111011011100010000000000001110001100111000101101010,1 3538984.0
1110000101011110111111011100010101000010000010010001001110,1110000101011110111111011100010101000010000010010001001110010100111100011100101101011110001010111100010111010000011110,1110000101011110111111011100010101,11100001010111101111110111000101010000100000100100010011100101001111000111001011010111,1 4093888.0
1101001000001111101110000001110000110011000010001001101110,1101001000001111101110000001110000110011000010001001101110010111001010000000101010100110000001111000000001000011010010,1101001000001111101110000001110000,11010010000011111011100000011100001100110000100010011011100101110010100000001010101001,1 3013000.0
1111110000011111010101010000111100110011100010001000101110,1111110000011111010101010000111100110011100010001000101110110111000010110010111001000110100000110000000000110011001001,1111110000011111010101010000111100,11111100000111110101010100001111001100111000100010001011101101110000101100101110010001,1 3151040.0
1110000100111111010101010001110100110010001000001001111110,1110000100111111010101010001110100110010001000001001111110101111101010110001001000010111100001111100000011110101101010,1110000100111111010101010001110100,11100001001111110101010100011101001100100010000010011111101011111010101100010010000101,1 3167464.0
1111000100111111010101010001110100110011101000001001101110,1111000100111111010101010001110100110011101000001001101110101111001010110011111000100110101001111000000001110111101010,1111000100111111010101010001110100,11110001001111110101010100011101001100111010000010011011101011110010101100111110001001,1 3168096.0
1110010000001110110101111110011001111010100010001000101111,1110010000001110110101111110011001111010100010001000101111110111000110111000111101100010000010010011100001011011000111,1110010000001110110101111110011001,11100100000011101101011111100110011110101000100010001011111101110001101110001111011000,1 3301344.0
1110010000001110111111111110000001101000100011000000101011,1110010000001110111111111110000001101000100011000000101011110111000110111000111111100010001010010111100101011001000110,1110010000001110111111111110000001,11100100000011101111111111100000011010001000110000001010111101110001101110001111111000,1 3324848.0
1101000000011011110100100001110100100011001010010101100110,1101000000011011110100100001110100100011001010010101100110110110001010010101001010100010101100111100000000110000101111,1101000000011011110100100001110100,11010000000110111101001000011101001000110010100101011001101101100010100101010010101000,1 3426768.0
best: 0.8070546026505131
1101000100011111100110000001110000110011000010001001101110,1101000100011111100110000001110000110011000010001001101110101111001010100010101000100110100001111000000001100011100010,1101000100011111100110000001110000,11010001000111111001100000011100001100110000100010011011101011110010101000101010001001,1 3166320.0
1100001000111111100110000001110100110010001000001001111110,1100001000111111100110000001110100110010001000001001111110101111101010000000001000010111100001111000000011110111011010,1100001000111111100110000001110100,11000010001111111001100000011101001100100010000010011111101011111010100000000010000101,1 2980104.0
1101001000011011100110100001110100110010001000001001111110,1101001000011011100110100001110100110010001000001001111110110111101010010000101010110111000000111000000011010010010011,1101001000011011100110100001110100,11010010000110111001101000011101001100100010000010011111101101111010100100001010101101,1 3068200.0
1111011001011001100110000001110101000100101011111101100111,1111011001011001100110000001110101000100101011111101100111110011001001010100101000000110101000011010000000010000000111,1111011001011001100110000001110101,11110110010110011001100000011101010001001010111111011001111100110010010101001010000001,1 3711472.0
1110100000011110000100001001010101111111101010001001000100,1110100000011110000100001001010101111111101010001001000100100111100110011100010010101111000001100101100111110100000011,1110100000011110000100001001010101,11101000000111100001000010010101011111111010100010010001001001111001100111000100101011,1 3545432.0
1100000000111111100101001110110000110010101000001001101111,1100000000111111100101001110110000110010101000001001101111111111101010000000011001000110100011111010000001110111011100,1100000000111111100101001110110000,11000000001111111001010011101100001100101010000010011011111111111010100000000110010001,1 2971248.0
1100001000111111110110010000101100110010000000101001101110,1100001000111111110110010000101100110010000000101001101110110111001010110000001000010111100001111100000011110101011011,1100001000111111110110010000101100,11000010001111111101100100001011001100100000001010011011101101110010101100000010000101,1 3270888.0
1101001000101111100110000001110000110010000000001001101110,1101001000101111100110000001110000110010000000001001101110001111001010000000101000110111100001111000000001100111011010,1101001000101111100110000001110000,11010010001011111001100000011100001100100000000010011011100011110010100000001010001101,1 2980080.0
0000100000001111011100000000101100010011000011001000101110,0000100000001111011100000000101100010011000011001000101110110001001010000000101010100111001101110001000001000011001010,0000100000001111011100000000101100,00001000000011110111000000001011000100110000110010001011101100010010100000001010101001,0 3323848.0
1100000010001011110101100001000000100011110010000101100100,1100000010001011110101100001000000100011110010000101100100111111000010010101000110010010101110111001011100110011000011,1100000010001011110101100001000000,11000000100010111101011000010000001000111100100001011001001111110000100101010001100100,1 4214200.0
0111010000100111110001100111001101010001101110001100111111,0111010000100111110001100111001101010001101110001100111111110101001010100001110001000100101010010010101001001011001101,0111010000100111110001100111001101,01110100001001111100011001110011010100011011100011001111111101010010101000011100010001,0 3894592.0
1110010000000111101101111001111011100000110000011010010110,1110010000000111101101111001111011100000110000011010010110101111001110111100111101100010000010000011101001101011100011,1110010000000111101101111001111011,11100100000001111011011110011110111000001100000110100101101011110011101111001111011000,1 3384688.0
0111001001100110010101000100101100100010000100001010001100,0111001001100110010101000100101100100010000100001010001100010011110110100010101101000000101000111001010010110101011111,0111001001100110010101000100101100,01110010011001100101010001001011001000100001000010100011000100111101101000101011010000,0 4640752.0
1010001100101111000100001000110100110010000110001001001110,1010001100101111000100001000110100110010000110001001001110101111000110000001011000110001110101111100011001000010100010,1010001100101111000100001000110100,10100011001011110001000010001101001100100001100010010011101011110001100000010110001100,1 3093424.0
1110101011000011000011010001101100110011000000101001101111,1110101011000011000011010001101100110011000000101001101111111011001010100000000100111001110000111111110011010001001011,1110101011000011000011010001101100,11101010110000110000110100011011001100110000001010011011111110110010101000000001001110,1 4387824.0
1100001000111111100110000001110100110010001000001001111110,1100001000111111100110000001110100110010001000001001111110101111101010000000001000010111100001111000000011110111011010,1100001000111111100110000001110100,11000010001111111001100000011101001100100010000010011111101011111010100000000010000101,1 2980104.0
1101001000001111101110000001110000110011000010001001101110,1101001000001111101110000001110000110011000010001001101110010111001010000000101010100110000001111000000001000011010010,1101001000001111101110000001110000,11010010000011111011100000011100001100110000100010011011100101110010100000001010101001,1 3013000.0
1111010000001111110101111110011000110011100010001000101111,1111010000001111110101111110011000110011100010001000101111110111000010110010111001000110100010010010000000110011000101,1111010000001111110101111110011000,11110100000011111101011111100110001100111000100010001011111101110000101100101110010001,1 3146688.0
1111110000011111010101010000111100110011100010001000101110,1111110000011111010101010000111100110011100010001000101110110111000010110010111001000110100000110000000000110011001001,1111110000011111010101010000111100,11111100000111110101010100001111001100111000100010001011101101110000101100101110010001,1 3151040.0
1110000100111111010101010001110100110010001000001001111110,1110000100111111010101010001110100110010001000001001111110101111101010110001001000010111100001111100000011110101101010,1110000100111111010101010001110100,11100001001111110101010100011101001100100010000010011111101011111010101100010010000101,1 3167464.0
1111000100111111010101010001110100110011101000001001101110,1111000100111111010101010001110100110011101000001001101110101111001010110011111000100110101001111000000001110111101010,1111000100111111010101010001110100,11110001001111110101010100011101001100111010000010011011101011110010101100111110001001,1 3168096.0
1110000000100111010101010000101100110010000000101000101110,1110000000100111010101010000101100110010000000101000101110010011001110110000001000010011100000111101100011110001101011,1110000000100111010101010000101100,11100000001001110101010100001011001100100000001010001011100100110011101100000010000100,1 3270888.0
best: 0.8046562717328428
1101001000101111100100001100110000110010101000001001101111,1101001000101111100100001100110000110010101000001001101111011111101010000000011000110110100001111010000001100111011110,1101001000101111100100001100110000,11010010001011111001000011001100001100101010000010011011110111111010100000000110001101,1 2973800.0
1110000000101111010101010000111100110011000010101000101110,1110000000101111010101010000111100110011000010101000101110110111001110110000001000000111100000110100000001110001101001,1110000000101111010101010000111100,11100000001011110101010100001111001100110000101010001011101101110011101100000010000001,1 3150408.0
1100101011000011110101000001101100110011010010101101100111,1100101011000011110101000001101100110011010010101101100111111011000010100100000100111001111010111001010010110001000011,1100101011000011110101000001101100,11001010110000111101010000011011001100110100101011011001111110110000101001000001001110,1 5172688.0
1100010000001111110101011110010000110011100010001000101111,1100010000001111110101011110010000110011100010001000101111110111101010110010111001000110100011110010000001110111010100,1100010000001111110101011110010000,11000100000011111101010111100100001100111000100010001011111101111010101100101110010001,1 3146712.0
1101001000111111100110010000101100110010000000101001101110,1101001000111111100110010000101100110010000000101001101110110111001010010000101010100111100001111000000011110111010010,1101001000111111100110010000101100,11010010001111111001100100001011001100100000001010011011101101110010100100001010101001,1 3075448.0
0000100000001111011100000000101100010011000011001000101110,0000100000001111011100000000101100010011000011001000101110110001001010000000101010100111001101110001000001000011001010,0000100000001111011100000000101100,00001000000011110111000000001011000100110000110010001011101100010010100000001010101001,0 3323848.0
1101011000001111101101110001110001100001000000001011111110,1101011000001111101101110001110001100001000000001011111110011111001010100000101111100110000001000010001001000011010010,1101011000001111101101110001110001,11010110000011111011011100011100011000010000000010111111100111110010101000001011111001,1 3499768.0
1111010000011111100101001110110000110011100010001000101111,1111010000011111100101001110110000110011100010001000101111110111001010000010111001000110100011011010000000110111010100,1111010000011111100101001110110000,11110100000111111001010011101100001100111000100010001011111101110010100000101110010001,1 2952392.0
1101001000011111100110100001110100110010000000001001111110,1101001000011111100110100001110100110010000000001001111110100111001010100010101010110111100000111000000001110011110011,1101001000011111100110100001110100,11010010000111111001101000011101001100100000000010011111101001110010101000101010101101,1 3149264.0
1110000010011011010000100110010100100011010110100111101100,1110000010011011010000100110010100100011010110100111101100001001000000010001100100000011111100011111101001110011100111,1110000010011011010000100110010100,11100000100110110100001001100101001000110101101001111011000010010000000100011001000000,1 5349272.0
1111100011001111110001011010100011100000010001101000101100,1111100011001111110001011010100011100000010001101000101100000001001100010101101111000101100000011001100001011001101011,1111100011001111110001011010100011,11111000110011111100010110101000111000000100011010001011000000010011000101011011110001,1 3196048.0
1011111001001110100101111010011101101011101000001011101110,1011111001001110100101111010011101101011101000001011101110000100000010110110011011110010100110001110100011111011000111,1011111001001110100101111010011101,10111110010011101001011110100111011010111010000010111011100001000000101101100110111100,1 4511888.0
0101110011001111100110110110001101110111100000101110101111,0101110011001111100110110110001101110111100000101110101111100000010100100010101000000010100010110010001100000011001111,0101110011001111100110110110001101,01011100110011111001101101100011011101111000001011101011111000000101001000101010000000,0 6153616.0
0100100001111110100100001110010010110010001000101001100111,0100100001111110100100001110010010110010001000101001100111101111100001000100011001000100100010011111001011110111001000,0100100001111110100100001110010010,01001000011111101001000011100100101100100010001010011001111011111000010001000110010001,0 3434912.0
0101000001011010000000010001010000110011001000010001011100,0101000001011010000000010001010000110011001000010001011100111001111111000000101011111010001000111010100010001000011011,0101000001011010000000010001010000,01010000010110100000000100010100001100110010000100010111001110011111110000001010111110,0 4001576.0
1100000000111111100101001110110000110010101000001001101111,1100000000111111100101001110110000110010101000001001101111111111101010000000011001000110100011111010000001110111011100,1100000000111111100101001110110000,11000000001111111001010011101100001100101010000010011011111111111010100000000110010001,1 2971248.0
1101001000101111100110000001110000110010000000001001101110,1101001000101111100110000001110000110010000000001001101110001111001010000000101000110111100001111000000001100111011010,1101001000101111100110000001110000,11010010001011111001100000011100001100100000000010011011100011110010100000001010001101,1 2980080.0
1100001000111111100110000001110100110010001000001001111110,1100001000111111100110000001110100110010001000001001111110101111101010000000001000010111100001111000000011110111011010,1100001000111111100110000001110100,11000010001111111001100000011101001100100010000010011111101011111010100000000010000101,1 2980104.0
1101001000001111101110000001110000110011000010001001101110,1101001000001111101110000001110000110011000010001001101110010111001010000000101010100110000001111000000001000011010010,1101001000001111101110000001110000,11010010000011111011100000011100001100110000100010011011100101110010100000001010101001,1 3013000.0
1101001000011011100110100001110100110010001000001001111110,1101001000011011100110100001110100110010001000001001111110110111101010010000101010110111000000111000000011010010010011,1101001000011011100110100001110100,11010010000110111001101000011101001100100010000010011111101101111010100100001010101101,1 3068200.0
1010001100101111000100001000110100110010000110001001001110,1010001100101111000100001000110100110010000110001001001110101111000110000001011000110001110101111100011001000010100010,1010001100101111000100001000110100,10100011001011110001000010001101001100100001100010010011101011110001100000010110001100,1 3093424.0
1111010000001111110101111110011000110011100010001000101111,1111010000001111110101111110011000110011100010001000101111110111000010110010111001000110100010010010000000110011000101,1111010000001111110101111110011000,11110100000011111101011111100110001100111000100010001011111101110000101100101110010001,1 3146688.0
best: 0.799549798405879
0101001001011010000110000001010100110010001000001001111100,0101001001011010000110000001010100110010001000001001111100111011101010000000101010111110001000111010100010010010010011,0101001001011010000110000001010100,01010010010110100001100000010101001100100010000010011111001110111010100000001010101111,0 3685480.0
1101000000111111100101100010110100110010101000001001101111,1101000000111111100101100010110100110010101000001001101111110111101010000000001011110110000001111010000001010111010001,1101000000111111100101100010110100,11010000001111111001011000101101001100101010000010011011111101111010100000000010111101,1 3068168.0
0000100000001111001100001100100000110011100000001000101110,0000100000001111001100001100100000110011100000001000101110010011101010000000101000110110100101110011000001000111011010,0000100000001111001100001100100000,00001000000011110011000011001000001100111000000010001011100100111010100000001010001101,0 3135280.0
1101001000111111100110010001111000110010000000001001101110,1101001000111111100110010001111000110010000000001001101110110111001010000000101010110111100001111000000001110111011010,1101001000111111100110010001111000,11010010001111111001100100011110001100100000000010011011101101110010100000001010101101,1 2956744.0
1100010000001111110101011110010000110011100010001000101111,1100010000001111110101011110010000110011100010001000101111110111101010110010111001000110100011110010000001110111010100,1100010000001111110101011110010000,11000100000011111101010111100100001100111000100010001011111101111010101100101110010001,1 3146712.0
1111011000001111100100001100111000110010101000001000101111,1111011000001111100100001100111000110010101000001000101111111111000010100010011000000110100000011010000001110111001101,1111011000001111100100001100111000,11110110000011111001000011001110001100101010000010001011111111110000101000100110000001,1 3168096.0
1100001000111111100110000001110100110010001000001001111110,1100001000111111100110000001110100110010001000001001111110101111101010000000001000010111100001111000000011110111011010,1100001000111111100110000001110100,11000010001111111001100000011101001100100010000010011111101011111010100000000010000101,1 2980104.0
1101011000101111100101000001010000110011100010001001101111,1101011000101111100101000001010000110011100010001001101111011111001010000000101000000111100011111000000001110111011100,1101011000101111100101000001010000,11010110001011111001010000010100001100111000100010011011110111110010100000001010000001,1 2971256.0
1111010000101111100100101001010100110010100000001000101111,1111010000101111100100101001010100110010100000001000101111100111100010110010011000010110100010111010000010110011010001,1111010000101111100100101001010100,11110100001011111001001010010101001100101000000010001011111001111000101100100110000101,1 3146720.0
1111001000001010100101110101001100100111010010101111011010,1111001000001010100101110101001100100111010010101111011010000000001010111000101101100110100001000000001000000001011001,1111001000001010100101110101001100,11110010000010101001011101010011001001110100101011110110100000000010101110001011011001,1 5427560.0
1111001000111100110011011000110100100010000101101101101110,1111001000111100110011011000110100100010000101101101101110010111101010010000001010101110101101111100001001101110110010,1111001000111100110011011000110100,11110010001111001100110110001101001000100001011011011011100101111010100100000010101011,1 3503336.0
0101001000011010001010000000111000111011010011000010001110,0101001000011010001010000000111000111011010011000010001110010001100111100000101110101000000100111001100001000000011010,0101001000011010001010000000111000,01010010000110100010100000001110001110110100110000100011100100011001111000001011101010,0 3817656.0
1101001010001010110101000000100100101000000100101001111101,1101001010001010110101000000100100101000000100101001111101001011110011010011101110110110010001111000101110010000010001,1101001010001010110101000000100100,11010010100010101101010000001001001010000001001010011111010010111100110100111011101101,1 4121768.0
1101011100111011100100000101100110100110000110011001101010,1101011100111011100100000101100110100110000110011001101010101111000010100000101011110100010000110001001001101011100010,1101011100111011100100000101100110,11010111001110111001000001011001101001100001100110011010101011110000101000001010111101,1 3288664.0
0101001110100111000100001010111010110010001101011101110111,0101001110100111000100001010111010110010001101011101110111111111001100100010000000110110110101011010010101110111011111,0101001110100111000100001010111010,01010011101001110001000010101110101100100011010111011101111111110011001000100000001101,0 4923344.0
1111010000011111100101001110110000110011100010001000101111,1111010000011111100101001110110000110011100010001000101111110111001010000010111001000110100011011010000000110111010100,1111010000011111100101001110110000,11110100000111111001010011101100001100111000100010001011111101110010100000101110010001,1 2952392.0
1100000000111111100101001110110000110010101000001001101111,1100000000111111100101001110110000110010101000001001101111111111101010000000011001000110100011111010000001110111011100,1100000000111111100101001110110000,11000000001111111001010011101100001100101010000010011011111111111010100000000110010001,1 2971248.0
1101001000101111100100001100110000110010101000001001101111,1101001000101111100100001100110000110010101000001001101111011111101010000000011000110110100001111010000001100111011110,1101001000101111100100001100110000,11010010001011111001000011001100001100101010000010011011110111111010100000000110001101,1 2973800.0
1101001000101111100110000001110000110010000000001001101110,1101001000101111100110000001110000110010000000001001101110001111001010000000101000110111100001111000000001100111011010,1101001000101111100110000001110000,11010010001011111001100000011100001100100000000010011011100011110010100000001010001101,1 2980080.0
1100001000111111100110000001110100110010001000001001111110,1100001000111111100110000001110100110010001000001001111110101111101010000000001000010111100001111000000011110111011010,1100001000111111100110000001110100,11000010001111111001100000011101001100100010000010011111101011111010100000000010000101,1 2980104.0
1101001000001111101110000001110000110011000010001001101110,1101001000001111101110000001110000110011000010001001101110010111001010000000101010100110000001111000000001000011010010,1101001000001111101110000001110000,11010010000011111011100000011100001100110000100010011011100101110010100000001010101001,1 3013000.0
1101001000011011100110100001110100110010001000001001111110,1101001000011011100110100001110100110010001000001001111110110111101010010000101010110111000000111000000011010010010011,1101001000011011100110100001110100,11010010000110111001101000011101001100100010000010011111101101111010100100001010101101,1 3068200.0
best: 0.799549798405879
1101001000001111100110000001110100110010000010001001111110,1101001000001111100110000001110100110010000010001001111110110111001010000000101010010110000001111000000011100111010010,1101001000001111100110000001110100,11010010000011111001100000011101001100100000100010011111101101110010100000001010100101,1 2954968.0
1101010000111111100110000001110000110010000000001000101111,1101010000111111100110000001110000110010000000001000101111100111101010010000001010110111100010111010000011110111010000,1101010000111111100110000001110000,11010100001111111001100000011100001100100000000010001011111001111010100100000010101101,1 2958704.0
1000101000001111000100001100110000110011101000001000101111,1000101000001111000100001100110000110011101000001000101111111011000010000000011000000110100101011011000001010111001111,1000101000001111000100001100110000,10001010000011110001000011001100001100111010000010001011111110110000100000000110000001,1 3087056.0
1101000000111111100110110001111000110010100000001001101110,1101000000111111100110110001111000110010100000001001101110110111101010000000101011110110000001111000000001010111010000,1101000000111111100110110001111000,11010000001111111001101100011110001100101000000010011011101101111010100000001010111101,1 3068200.0
1101011000001111110101011110111010110011100000011100110111,1101011000001111110101011110111010110011100000011100110111110111001100110010111000110110110001010010000001110111010101,1101011000001111110101011110111010,11010110000011111101010111101110101100111000000111001101111101110011001100101110001101,1 3693720.0
1101001000011111100110000001110000110010001000001001111100,1101001000011111100110000001110000110010001000001001111100101111101010000000101000111111000000111010100001100110010011,1101001000011111100110000001110000,11010010000111111001100000011100001100100010000010011111001011111010100000001010001111,1 3482296.0
1100000000111011100110100000110100110010001000001001101111,1100000000111011100110100000110100110010001000001001101111111111101010010000011011110110000010111010000001110110011011,1100000000111011100110100000110100,11000000001110111001101000001101001100100010000010011011111111111010100100000110111101,1 2971280.0
1101011000101111100101001011110000110011100010001000101111,1101011000101111100101001011110000110011100010001000101111011111001010000010111000000110100011111010000001110111011100,1101011000101111100101001011110000,11010110001011111001010010111100001100111000100010001011110111110010100000101110000001,1 2971224.0
1101000000101111100100101010110000110010101000001001101111,1101000000101111100100101010110000110010101000001001101111111111101010000000011001110110000001111010000001010111010100,1101000000101111100100101010110000,11010000001011111001001010101100001100101010000010011011111111111010100000000110011101,1 3085224.0
0001000011100111100100111100000011111010011010001100101101,0001000011100111100100111100000011111010011010001100101101010100111000011000111001110001101011111110100001000111000110,0001000011100111100100111100000011,00010000111001111001001111000000111110100110100011001011010101001110000110001110011100,0 4506192.0
