Optimizing /h/ywang30/nofib/spectral/pretty
10000000001011000000111111100000011011001001001001101100010001101110,1000,1000000000101100000011111110000001101100100100100110110001000110111000010011000100011110011011001111010001000100101110010011110000000011010110111000111001 173232.0
00000000000011000000111111100100011011101001101011101101010101101110,0000,0000000000001100000011111110010001101110100110101110110101010110111000010011010110011110011100001101000001000010101110000011110000000011010100110000111100 173248.0
00001010000011000000111111100111011011001001101001101101010101101110,0000,0000101000001100000011111110011101101100100110100110110101010110111000010010011110011110111001001101010001100000101100110010110100000011110100111000111000 173536.0
11011001001011000000111101110001011011001000101011001111010011111100,1101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011100111100 173824.0
11011101001011000000111101100111011010101000110011000101000001111010,1101,1101110100101100000011110110011101101010100011001100010100000111101000010010011110010111011011011101010001100110101110010010000000010011110010010000111100 174376.0
00011110110011010000111111101111010010111101110011110101000101100010,0001,0001111011001101000011111110111101001011110111001111010100010110001001010010011110001110111100011101000001100010101100100010000100010010110000110000111100 175120.0
01011011110011010000101111111001000010111100110011010000000001111000,0101,0101101111001101000010111111100100001011110011001101000000000111100000010010011110001111011110011101110001100110101100100001000100011000110100111100011100 175728.0
best: 1.1896494890671354
11001001001011000000111101110000011011001001001001101111010011111100,1100,1100100100101100000011110111000001101100100100100110111101001111110000010011000100010111011011001110010001000100101110010011110000000111010110011100111001 173888.0
00001010001011000000111111100010011011001001001001101100010001101110,0000,0000101000101100000011111110001001101100100100100110110001000110111000010010000100011110011011001111010001000100101100010010110000000011110110111000111000 173536.0
00001010000011000000111111100000011011101001001001101100010101101110,0000,0000101000001100000011111110000001101110100100100110110001010110111000010010010110011110111000001111000001100000101100100010110000000011110100111000111000 173824.0
01001010110001000000111111101100000010111001110001101101100011101110,0100,0100101011000100000011111110110000001011100111000110110110001110111010010010010100011110011010001101000001100010101010100010110100000011010100110100011100 174992.0
10011000100011010000111111111001001000111000110011100101100011111001,1001,1001100010001101000011111111100100100011100011001110010110001111100100010010001100001110011110010111100001000110101110010011111000011111010110110000011100 174416.0
10001000001011000000111101100011011011101001001001001101000001101110,1000,1000100000101100000011110110001101101110100100100100110100000110111000010010001100010111011011001101010001000100101110010011110000000011110010011000111100 173680.0
10000011111011000000111111110001011011001101000001101000000001101110,1000,1000001111101100000011111111000101101100110100000110100000000110111000010010000100001110011011001101010001000100101110010001010000000011110110111000011000 174496.0
00000000001011000000111111100010011011001001001001101100010001101110,0000,0000000000101100000011111110001001101100100100100110110001000110111000010011000100011110011011001111010001000100101100010010110000000011110110111000111000 173312.0
01010000010011000000111111110001010011101000011011010001010001101110,0101,0101000001001100000011111111000101001110100001101101000101000110111000010010000100011111011111001101010001000100101110000001100000001001110110111000011101 174608.0
00010000100111000000111111111101011011101101001011111100110111101110,0001,0001000010011100000011111111110101101110110100101111110011011110111000010101111010101110011110000110001101000100000100011001110000001111000100010010111001 187704.0
00001001000001000001111011110100000011001010001010001001000001011100,0000,0000100100000100000111101111010000001100101000101000100100000101110000000001000110010101010011001101111000111100100110000011100000001111101010010000110100 139880.0
11011101001001010110111100011111111100001100010111101011010111111000,1101,1101110100100101011011110001111111110000110001011110101101011111100000010110011110010111011011001101011001010110001010010010100000010010110010011110110100 182176.0
00000001101011010000101010111001011111001100001001110000100001100000,0000,0000000110101101000010101011100101111100110000100111000010000110000000000000100001011100010010011001000000000000011010100100110000111000110101101000011100 184864.0
01001000000111000100101001110111011011001010001001100001010101100101,0100,0100100000011100010010100111011101101100101000100110000101010110010100100010001110111000101101001101001011010111100100110111101110000011011100111000011000 195120.0
10011001000010000101001111101001011011011101000001001000011011101111,1001,1001100100001000010100111110100101101101110100000100100001101110111100000010001000100101001010011111100001100100001110010001000100100010011100101000010101 174888.0
10000000001011000000111111100000011011001001001001101100010001101110,1000,1000000000101100000011111110000001101100100100100110110001000110111000010011000100011110011011001111010001000100101110010011110000000011010110111000111001 173232.0
10010001001011000000111101110001011011101000101011101101010011111100,1001,1001000100101100000011110111000101101110100010101110110101001111110000010010000100011110011110001111000001000111101110010011110000000111010110010000111100 173248.0
00000000000011000000111111100100011011101001101011101101010101101110,0000,0000000000001100000011111110010001101110100110101110110101010110111000010011010110011110011100001101000001000010101110000011110000000011010100110000111100 173248.0
00000000000011000000111111100000011011101001001001101100010101101110,0000,0000000000001100000011111110000001101110100100100110110001010110111000010011010100011110011000001111010001000110101110010011110000000011010100110000111001 173536.0
00001010001011000000111111100010011011001001001001101100010001101110,0000,0000101000101100000011111110001001101100100100100110110001000110111000010010000100011110011011001111010001000100101100010010110000000011110110111000111000 173536.0
00001010000011000000111111100111011011001001101001101101010101101110,0000,0000101000001100000011111110011101101100100110100110110101010110111000010010011110011110111001001101010001100000101100110010110100000011110100111000111000 173536.0
10001001001011000000111101100001011011101001001011001101000001111110,1000,1000100100101100000011110110000101101110100100101100110100000111111000010010001110010111011011001101010001000100101110010011100000000011110010010000111100 173680.0
best: 0.9606087243160092
00001000001011000000111101100011011011101001001001101100000001101110,0000,0000100000101100000011110110001101101110100100100110110000000110111000010011000100011111011011001101010001000100101100010010110000000011110110011000111000 173760.0
10001001001011000000111101100101011011001001101011001101010001111110,1000,1000100100101100000011110110010101101100100110101100110101000111111000010010001110011111011011001101010001100000101100110011110000000011110110011000111000 173456.0
10001001100010010000101011111001011011001101000001111000011001101001,1000,1000100110001001000010101111100101101100110100000111100001100110100100000000001000100101000010011001000000000100011010100001000100110000111101101000011100 149112.0
00001000000011000000111111100110011011101001101001101101000101101110,0000,0000100000001100000011111110011001101110100110100110110100010110111000010010010110010111011011001101000001000110101110010011110000000011110100111000111100 173696.0
10001000100001000000111111111001001011011010110010101001000011011001,1000,1000100010000100000011111111100100101101101011001010100100001101100100010001001110010110011110001111100000000100100110010011110000001111001110110000111100 176368.0
01001001000011000000111111110101000011101000011010011001010001011110,0100,0100100100001100000011111111010100001110100001101001100101000101111000000001000100011111010111001101110000000100101110000011100000001101101110011000111100 140056.0
00010001000011000001111001110100001011001010001010001001000001111100,0001,0001000100001100000111100111010000101100101000101000100100000111110000010001000100010100011010001101011001010111100110000011100000000111010110010000111100 178736.0
10001000000011000000111111100010011011101001101011101101000101101110,1000,1000100000001100000011111110001001101110100110101110110100010110111000010011001100011111011011001101000001000100101110010011110000000011010000110000111100 173680.0
00001000001011000000111111100000011011101001001001101101010001111100,0000,0000100000101100000011111110000001101110100100100110110101000111110000010011000100011110011010001111010001000100101110010011110000000011010100011000111001 173744.0
10111001000110001100011110011100011011010100001001101010010110001111,1011,1011100100011000110001111001110001101101010000100110101001011000111110000110101010110100011000111001010100100100101010100100000010110010011101101001010101 291232.0
10010001110001001001111111000010101111001101011011001101100101011110,1001,1001000111000100100111111100001010111100110101101100110110010101111010110111101001000001011011101001010011101100101110010111000100100011010110011000111001 177376.0
01001010010011010100111110100101001101101011001011011101001001011110,0100,0100101001001101010011111010010100110110101100101101110100100101111000010111110100101010011000010001100010001010101100001101110010000011011101110011111100 183152.0
10101000110011000100001101100001001010101001000010001101010000011011,1010,1010100011001100010000110110000100101010100100001000110101000001101110000011000111011010011100101101001101110010100100000011110100000011110100100001011100 291232.0
10001000010011010000101111101100111011100001100011101111010001101100,1000,1000100001001101000010111110110011101110000110001110111101000110110011010111010110011100011101101000001011000010111010000011100000100101010110100100001100 182040.0
10001000010011011001010011101001011011111001001111100100110110001011,1000,1000100001001101100101001110100101101111100100111110010011011000101101000010010111010011110000001101100000111010100100110010100000000011110001010010011010 176424.0
00001001000001000001111011110100000011001010001010001001000001011100,0000,0000100100000100000111101111010000001100101000101000100100000101110000000001000110010101010011001101111000111100100110000011100000001111101010010000110100 139880.0
10000000001011000000111111100000011011001001001001101100010001101110,1000,1000000000101100000011111110000001101100100100100110110001000110111000010011000100011110011011001111010001000100101110010011110000000011010110111000111001 173232.0
10010001001011000000111101110001011011101000101011101101010011111100,1001,1001000100101100000011110111000101101110100010101110110101001111110000010010000100011110011110001111000001000111101110010011110000000111010110010000111100 173248.0
00000000000011000000111111100100011011101001101011101101010101101110,0000,0000000000001100000011111110010001101110100110101110110101010110111000010011010110011110011100001101000001000010101110000011110000000011010100110000111100 173248.0
00000000001011000000111111100010011011001001001001101100010001101110,0000,0000000000101100000011111110001001101100100100100110110001000110111000010011000100011110011011001111010001000100101100010010110000000011110110111000111000 173312.0
00001010001011000000111111100010011011001001001001101100010001101110,0000,0000101000101100000011111110001001101100100100100110110001000110111000010010000100011110011011001111010001000100101100010010110000000011110110111000111000 173536.0
00000000000011000000111111100000011011101001001001101100010101101110,0000,0000000000001100000011111110000001101110100100100110110001010110111000010011010100011110011000001111010001000110101110010011110000000011010100110000111001 173536.0
best: 0.9606087243160092
10000000010011011000110111101010011011001001001001101100110010101110,1000,1000000001001101100011011110101001101100100100100110110011001010111000000011010100010111010011001101110000100000101100110010110000000011110011110000011000 171768.0
00000001000011000000111011110010010011001011001011001000000001101100,0000,0000000100001100000011101111001001001100101100101100100000000110110000000011000100010101010011001101010000011100101110010010110000000111101110111000110100 171000.0
01001001000011000000111011111101001011001001001000111000011001111000,0100,0100100100001100000011101111110100101100100100100011100001100111100000000001000000100111000111011001000000000100111110100001000100101100111110011000111100 142232.0
00000000000011000000111111100000011011001001001001101100010101101110,0000,0000000000001100000011111110000001101100100100100110110001010110111000010011010100011110011000001111010001000100101110010011110000000011010100111000111001 173520.0
00001000000011000000111111100110011011101001101001101101000101101110,0000,0000100000001100000011111110011001101110100110100110110100010110111000010010010110010111011011001101000001000110101110010011110000000011110100111000111100 173696.0
00000000000011000000111111100001011011101001001001101100000101101110,0000,0000000000001100000011111110000101101110100100100110110000010110111000010011010100011110011010001111010001000110101110010010110000000011110110011000111001 173824.0
10010001001011000000111101110001011011101000101011101101010011111100,1001,1001000100101100000011110111000101101110100010101110110101001111110000010010000100011110011110001111000001000111101110010011110000000111010110010000111100 173248.0
00001000001011000000111111100100011011101001101001101100000101101110,0000,0000100000101100000011111110010001101110100110100110110000010110111000010011000110010110011011001111000001000100101110010011110000000011110110111000111101 173680.0
01000001001011000000111111110101011011101000111010011001010001011110,0100,0100000100101100000011111111010101101110100011101001100101000101111000000000000100011111011111001101110000000101101110000011110000000101101110010000111100 181472.0
00110101000010010011111000111011011010101110100011000000000110001100,0011,0011010100001001001111100011101101101010111010001100000000011000110000001001000110010100111010001111011000010101101101000000111000000110010101011100111010 291232.0
10101001100010100101111001111111011111001100010000111000010001100001,1010,1010100110001010010111100111111101111100110001000011100001000110000100000000101000101100001110011101001010011101111010110000010101111001111101111011011100 291232.0
10000000000110011001111111110110011001101101111001010101010100000101,1000,1000000000011001100111111111011001100110110111100101010101010000010101110011010010010000011001001100100001000001100110000010110010000111110100110000111110 196080.0
00000000101111010100000111110110011101101010000001101100101110101000,0000,0000000010111101010000011111011001110110101000000110110010111010100001010000000000011111001010001111111100000110101110010010010010011101000110111010111000 187904.0
00001101000010000000010110100100111110101000101101101000010011111110,0000,0000110100001000000001011010010011111010100010110110100001001111111000010001000101011101101010000110011001011100111111010111110100001011010000101010011001 179960.0
10000001100001001000111110000110111011100000111110101011011101100111,1000,1000000110000100100011111000011011101110000011111010101101110110011110110001001110011110001000101101010101010010101111000010011001000011100000111100000110 200688.0
00001001000001000001111011110100000011001010001010001001000001011100,0000,0000100100000100000111101111010000001100101000101000100100000101110000000001000110010101010011001101111000111100100110000011100000001111101010010000110100 139880.0
01001001000011000000111111110101000011101000011010011001010001011110,0100,0100100100001100000011111111010100001110100001101001100101000101111000000001000100011111010111001101110000000100101110000011100000001101101110011000111100 140056.0
10001001100010010000101011111001011011001101000001111000011001101001,1000,1000100110001001000010101111100101101100110100000111100001100110100100000000001000100101000010011001000000000100011010100001000100110000111101101000011100 149112.0
10000000001011000000111111100000011011001001001001101100010001101110,1000,1000000000101100000011111110000001101100100100100110110001000110111000010011000100011110011011001111010001000100101110010011110000000011010110111000111001 173232.0
10010001001011000000111101110001011011101000101011101101010011111100,1001,1001000100101100000011110111000101101110100010101110110101001111110000010010000100011110011110001111000001000111101110010011110000000111010110010000111100 173248.0
00000000000011000000111111100100011011101001101011101101010101101110,0000,0000000000001100000011111110010001101110100110101110110101010110111000010011010110011110011100001101000001000010101110000011110000000011010100110000111100 173248.0
00000000001011000000111111100010011011001001001001101100010001101110,0000,0000000000101100000011111110001001101100100100100110110001000110111000010011000100011110011011001111010001000100101100010010110000000011110110111000111000 173312.0
best: 0.9606087243160092
10000000000011000000111101110001011011101001101011101101010101101100,1000,1000000000001100000011110111000101101110100110101110110101010110110000010011000110011110011100001111000001000110101110000011110000000011010100010000111100 173248.0
01000000010011001000110111101000011011001000001000011000010001001110,0100,0100000001001100100011011110100001101100100000100001100001000100111000000011010100010111011011001101110000000000101110010010110000000101111110010000111100 172216.0
01001001000011000000111011100001001011101001001001111100000001111110,0100,0100100100001100000011101110000100101110100100100111110000000111111000000001010000010110000111001011010000000110101110110001110100000011110110011000111000 175608.0
00000001000010010000101011110001011011001001001001001000011001101100,0000,0000000100001001000010101111000101101100100100100100100001100110110000000000000100100101010011011001010000001100111110010010110000000111111111111000010100 182152.0
00001000000011000000111111000110111011101001101100101011011101100111,0000,0000100000001100000011111100011011101110100110110010101101110110011110110001010110011111001001101101000001010110101111000011111001000011100100111000111100 200384.0
10000000000011000000110111100010011011001001001001101100110001101110,1000,1000000000001100000011011110001001101100100100100110110011000110111000000011000100010110011011001101110001000100101100110010110000000011010011111000111000 172616.0
01000000000011000000111111110100001011101000001001001001010001101110,0100,0100000000001100000011111111010000101110100000100100100101000110111000010011000100011111011111001101110000000100101100010010100000001101111110011000111000 173552.0
10011001001001000000111111110101000011001010101011001101010011111100,1001,1001100100100100000011111111010100001100101010101100110101001111110000000001000100011101010011001101011001001111101110000011100000001111011010010000110100 174888.0
10000001100010000000101011110001011011001101000001011000010001101001,1000,1000000110001000000010101111000101101100110100000101100001000110100100000000000100100101010010011101000000011100001010110000010000000001111100111000011100 182376.0
01001011010000010000100111110101101001000001100000101000111011011101,0100,0100101101000001000010011111010110100100000110000010100011101101110110011000101001100010001000011101100000100100000010100001001110010101101111101010001101 186200.0
00000100100101000010110011010001001100001110001101101100011011101111,0000,0000010010010100001011001101000100110000111000110110110001101110111100011011011110010010011011000111011001010001100010011010111000100001010110111001111101 196064.0
00000011000001001100011010001001010001000011001011101011010110101111,0000,0000001100000100110001101000100101000100001100101110101101011010111100111111010100110101000011000001001001111010001110010010010010000011101110001010110001 181144.0
00000011000001100100111010110111011011001010001001100100011010101001,0000,0000001100000110010011101011011101101100101000100110010001101010100100010000100100010101010111000101100000000100101111010001110000010011101010110001110000 197040.0
10010001100011011000110011010011110010111100011001011101110010011110,1001,1001000110001101100011001101001111001011110001100101110111001001111001110011110110110110011111011111100000100111001111011011111011100011110011000000111001 193152.0
00101010100011000000110111100001000011001001011000011000001100001101,0010,0010101010001100000011011110000100001100100101100001100000110000110100010000010101100111010111001111110001000000101010010001100010010110101110001111010110 291232.0
00001001000001000001111011110100000011001010001010001001000001011100,0000,0000100100000100000111101111010000001100101000101000100100000101110000000001000110010101010011001101111000111100100110000011100000001111101010010000110100 139880.0
01001001000011000000111111110101000011101000011010011001010001011110,0100,0100100100001100000011111111010100001110100001101001100101000101111000000001000100011111010111001101110000000100101110000011100000001101101110011000111100 140056.0
01001001000011000000111011111101001011001001001000111000011001111000,0100,0100100100001100000011101111110100101100100100100011100001100111100000000001000000100111000111011001000000000100111110100001000100101100111110011000111100 142232.0
10001001100010010000101011111001011011001101000001111000011001101001,1000,1000100110001001000010101111100101101100110100000111100001100110100100000000001000100101000010011001000000000100011010100001000100110000111101101000011100 149112.0
00000001000011000000111011110010010011001011001011001000000001101100,0000,0000000100001100000011101111001001001100101100101100100000000110110000000011000100010101010011001101010000011100101110010010110000000111101110111000110100 171000.0
10000000010011011000110111101010011011001001001001101100110010101110,1000,1000000001001101100011011110101001101100100100100110110011001010111000000011010100010111010011001101110000100000101100110010110000000011110011110000011000 171768.0
10000000001011000000111111100000011011001001001001101100010001101110,1000,1000000000101100000011111110000001101100100100100110110001000110111000010011000100011110011011001111010001000100101110010011110000000011010110111000111001 173232.0
best: 0.9606087243160092
10001001100001000000111011111100001011001110000001111001011001101001,1000,1000100110000100000011101111110000101100111000000111100101100110100100000000000100010101010011011101011000011100000010000001000100000100101111111000110100 148520.0
11000000010011001000110111100000011011001000001001001000010001101110,1100,1100000001001100100011011110000001101100100000100100100001000110111000010011010100010111011011001101110001000000101110010010110000000111010110010000111001 174448.0
10001001000011000001111011111001010011001100000001111001001001001001,1000,1000100100001100000111101111100101001100110000000111100100100100100100000000000000110101010010001101001000000100011110000001000100110110101100111000011100 147720.0
00000000010011001000111111110010010011001011001001101100000010101100,0000,0000000001001100100011111111001001001100101100100110110000001010110000000011010100010101010011001101010000111100101110010010110000000011100010111000010100 171896.0
00000001000010010000111011110001011011101000001000001001011001111110,0000,0000000100001001000011101111000101101110100000100000100101100111111000000000000100100111010011011001010000001100101110000010100000001101111111011000010100 148664.0
00000001000011000000111011110011010011101001001011111000000001101100,0000,0000000100001100000011101111001101001110100100101111100000000110110000000001010100010111010011001011010000000100101110110000110100000111101110011000110000 174856.0
10000001011011011000110111110001000011001001001001101101010011101110,1000,1000000101101101100011011111000100001100100100100110110101001110111000000011010100011101010011001101010001000100101110100011110000001111010011010000111100 171688.0
00000001000011000000111011110010010011001011001011001000000001101100,0000,0000000100001100000011101111001001001100101100101100100000000110110000000011000100010101010011001101010000011100101110010010110000000111101110111000110100 171000.0
10000000000011000000111101110001001011101000001001101001010001101110,1000,1000000000001100000011110111000100101110100000100110100101000110111000010011000100011111011111001111100001000110101110000011110000001011010100011000111100 173248.0
10010010000001000100110111100011010001001011001001001100100011101100,1001,1001001000000100010011011110001101000100101100100100110010001110110000000101000100000100000011011101000001010101101110110000110011000011011111110010110100 191480.0
10000010000101111000011110101011011010001101111011101110110011001000,1000,1000001000010111100001111010101101101000110111101110111011001100100000000111000100000011010011001101110010100010101110110110110011010011010011110000101001 184032.0
10000001100111101010101000110011011011011101010010001000010111101010,1000,1000000110011110101010100011001101101101110101001000100001011110101010000000000110011101011100000000101000001111001010011000010001010001110001101000011000 197360.0
10111001100010010000100111011001111111011101000001111000111011101001,1011,1011100110001001000010011101100111111101110100000111100011101110100111001001001010000001010011011101100000101110010110001000000111110000110101101000011100 291232.0
10000000010011011111110000110100011011101010001000101000110111111110,1000,1000000001001101111111000011010001101110101000100010100011011111111000010011010001001111010011000101010101010100111110110001011000000011110011100010110001 174416.0
10110010110010110100100010110010100011111000001111001010010001101101,1011,1011001011001011010010001011001010001111100000111100101001000110110100000100110100000111011011110101110011000001001110000010110000000011111110111100011101 291232.0
00001001000001000001111011110100000011001010001010001001000001011100,0000,0000100100000100000111101111010000001100101000101000100100000101110000000001000110010101010011001101111000111100100110000011100000001111101010010000110100 139880.0
01001001000011000000111111110101000011101000011010011001010001011110,0100,0100100100001100000011111111010100001110100001101001100101000101111000000001000100011111010111001101110000000100101110000011100000001101101110011000111100 140056.0
01001001000011000000111011111101001011001001001000111000011001111000,0100,0100100100001100000011101111110100101100100100100011100001100111100000000001000000100111000111011001000000000100111110100001000100101100111110011000111100 142232.0
10001001100010010000101011111001011011001101000001111000011001101001,1000,1000100110001001000010101111100101101100110100000111100001100110100100000000001000100101000010011001000000000100011010100001000100110000111101101000011100 149112.0
00000001000011000000111011110010010011001011001011001000000001101100,0000,0000000100001100000011101111001001001100101100101100100000000110110000000011000100010101010011001101010000011100101110010010110000000111101110111000110100 171000.0
10000000010011011000110111101010011011001001001001101100110010101110,1000,1000000001001101100011011110101001101100100100100110110011001010111000000011010100010111010011001101110000100000101100110010110000000011110011110000011000 171768.0
01000000010011001000110111101000011011001000001000011000010001001110,0100,0100000001001100100011011110100001101100100000100001100001000100111000000011010100010111011011001101110000000000101110010010110000000101111110010000111100 172216.0
best: 0.9606087243160092
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
833.33user 496.36system 37:03.59elapsed 59%CPU (0avgtext+0avgdata 131516maxresident)k
965872inputs+1421048outputs (573major+79170709minor)pagefaults 0swaps
